숙소명,시군구명,질문1,질문2,질문3,질문4,질문5
펜션그림,평창군,대관령 주변에 경사가 완만하고 산책하기 좋은 길이 있는 숙소가 있나요?,날씨가 추운 겨울철에도 따뜻하게 지낼 수 있는 난방 시설이 잘 갖춰진 숙소가 있나요?,대관령에서 자연 경관을 감상할 수 있는 전망 좋은 방이 있는 숙소를 찾고 있어요,"대중교통을 이용할 예정인데, 대관령 인근에 버스 정류장이 가까운 숙소가 있을까요?","부모님이 지역 문화를 체험하길 원하시는데, 근처에 전통문화 체험장이 있는 숙소가 있나요?"
우리빌리지펜션,평창군,부모님과 함께 조용한 휴식을 원합니다. 흥정계곡 주변에 위치한 숙소 중에서 자연경관을 즐길 수 있는 곳이 있을까요?,"겨울에 스키를 즐기고 싶어하는 가족이 있는데, 근처 스키장과 가까운 숙소가 있을까요?","부모님께서 강릉 바다를 좋아하시는데, 차로 1시간 내로 이동할 수 있는 숙소가 있을까요?",황토방에서 건강하게 휴식을 취할 수 있는 숙소가 흥정계곡 근처에 있을까요?,"고령의 부모님과 함께 머물 계획인데, 청정한 자연환경을 쉽게 접근할 수 있는 숙소가 있나요?"
T-Pension,평창군,대관령 주변에 경치 좋은 산책로가 있는 숙소가 있을까요?,"대관령에 차를 두고 대중교통을 이용할 계획인데, 버스 정류장이나 기차역과 가까운 숙소가 있나요?","부모님께서 전통문화 체험을 좋아하시는데, 대관령 근처에 그런 체험이 가능한 숙소가 있나요?",대관령 주변에 지역 특산 음식을 맛볼 수 있는 식당이 가까운 숙소가 있을까요?,대관령에서 휴식을 취하며 자연경관을 감상할 수 있는 전망 좋은 숙소가 있나요?
쉼펜션,평창군,"부모님과 함께 자연을 즐기고 싶은데, 평창 자연휴양림과 가까운 숙소가 있나요?","평창 휘닉스 파크를 방문할 예정인데, 그 주변에 머물기 좋은 곳이 있을까요?",문학에 관심이 많은 부모님께 이효석문학관을 소개하고 싶어요. 가까운 숙소를 추천해 줄 수 있나요?,계곡 근처에서 물놀이도 하고 싶어요. 흥정계곡과 가까운 숙소가 있을까요?,전통시장을 둘러보는 걸 좋아하시는 부모님을 위해 봉평시장 근처에 있는 숙소를 찾고 있어요. 추천해 줄 수 있나요?
강애산애펜션,평창군,"부모님께서 자연을 좋아하시는데, 흥정계곡 근처에 산책하기 좋은 숙소가 있나요?","휘닉스파크와 가까운 곳에 머물고 싶은데, 이동이 편리한 숙소를 추천해줄 수 있나요?","메밀꽃 축제가 유명하다고 들었는데, 축제 장소와 가까운 숙소가 있을까요?",고령인 분들도 쉽게 접근할 수 있는 강원도 단풍 명소 근처의 숙소를 알고 싶어요,"계곡 물놀이를 즐기기 좋은 곳으로, 흥정계곡 근처에 접근성이 좋은 숙소가 있나요?"
하이디하우스,평창군,"부모님께서 자연 경관을 좋아하시는데, 평창군 인근에 산책하기 좋은 공원이 있는 숙소가 있을까요?","차로 이동하기 힘든데, 평창군에서 대중교통으로 접근하기 편한 숙소가 있을까요?","어르신들이 편하게 머무르실 수 있도록, 평창군 근처에 병원이나 의료 시설과 가까운 숙소를 추천해줄 수 있나요?","부모님께서 전통시장을 구경하고 싶어 하시는데, 평창군 근처에 전통시장이 있는 숙소가 있나요?","부모님이 전통 음식을 좋아하시는데, 평창군에 한식당과 가까운 숙소가 있는지 궁금해요"
봉평별빛펜션,평창군,"부모님께서 자연을 좋아하셔서 그러는데, 숲속 산책로가 잘 되어있는 숙소가 있을까요?",근처에 전통시장이 있어서 지역 특산품을 구경할 수 있는 숙소가 있나요?,고령자분들이 이용하기 편리한 계곡 근처에 위치한 숙소가 있을까요?,"가까운 곳에 산책을 겸한 관광 명소가 있는 숙소를 찾고 있는데, 그런 숙소가 있나요?","대중교통을 이용해야 하는데, 평창에서 접근성이 좋은 숙소가 어디일까요?"
비블로스펜션,평창군,"부모님께서 산책을 좋아하시는데, 근처에 산책하기 좋은 계곡 길이 있는 숙소가 있을까요?","자연을 즐기기 좋은 곳을 찾고 있는데, 청정한 공기와 산뷰를 즐길 수 있는 숙소가 있나요?",아침에 새소리를 들으며 여유롭게 휴식할 수 있는 조용한 숙소가 주변에 있을까요?,"고지대에서의 특별한 경험을 원하셔서, 700m 이상의 고지에 위치한 숙소가 있으면 좋겠어요",맑은 물소리를 들으며 쉴 수 있는 계곡과 가까운 숙소가 있을까요?
펜션수가성,평창군,평창 근처에 있는 숙소 중에서 고령자도 쉽게 접근할 수 있는 산책로가 있는 곳이 있을까요?,"차를 가져가지 않았는데, 평창 시내나 주요 관광지와 대중교통으로 편리하게 연결된 숙소가 있나요?","부모님께서 자연 경관을 즐기시는 것을 좋아하시는데, 주변에 경치 좋은 호수나 강이 있는 숙소를 추천해주실 수 있나요?",근처에 전통시장이나 지역 특산품을 맛볼 수 있는 식당이 가까운 숙소를 찾고 있습니다. 추천해주실 수 있나요?,고령자분들이 편안하게 이용할 수 있는 카페나 휴식 공간이 근처에 있는 숙소를 알고 싶어요. 어디가 좋을까요?
이스턴파크,평창군,"휘닉스파크까지 도보 이동이 가능하다고 들었는데, 겨울철에는 길이 미끄럽지 않도록 잘 관리되어 있는지 궁금해요","이효석 생가와 문학관을 방문하고 싶은데, 숙소에서 이곳들까지 이동하기에 편리한 교통편이 있을까요?",부모님이 자연을 좋아하셔서 산림욕을 즐기고 싶어 하세요. 숙소에서 쉽게 접근할 수 있는 산림욕장이 있나요?,"금당계곡과 흥정계곡을 구경하고 싶은데, 숙소에서 이 계곡들까지 접근성이 좋은가요?","허브나라를 방문하고 싶은데, 숙소에서 가는 길이 고령자에게도 편안한지 알고 싶어요"
하우스봉봉,평창군,"수영장을 이용하고 싶은데, 근처에 의료시설이 잘 갖춰진 숙소가 있나요?","무료 픽업 서비스를 제공한다고 하는데, 가장 가까운 대중교통 정류장이 어디에 있나요?",고령자를 위한 편안한 산책로가 주변에 있는 숙소가 있나요?,"아침 식사를 제공한다고 하는데, 숙소 근처에 로컬 식당이나 시장도 있나요?","조용하고 한적한 환경에서 휴식을 취하고 싶은데, 숙소 주변에 큰 도로가 있나요?"
메이페어 데네브,평창군,"부모님이 자연 속에서 여유를 즐기고 싶어 하시는데, 휘닉스파크 근처에 조용한 숙소가 있을까요?","가족과 함께 계곡에서 물놀이를 하려는데, 평창군에 물놀이하기 좋은 계곡이 있는 숙소를 추천해 주세요","부모님이 문화 체험을 좋아하시는데, 무이예술관이나 이효석문학관 가까이에 있는 숙소가 있을까요?","양떼목장에서 아이들과 특별한 경험을 하고 싶은데, 그 주변에 머무를 수 있는 숙소가 있나요?","자연을 좋아하시는 부모님을 위해 한국자생식물원 근처에 숙소를 찾고 있어요, 추천해주실 곳이 있나요?"
대관령에델바이스펜션,평창군,"차량으로 이동하기 편리한 곳에 있고, 대관령 양떼목장이나 삼양목장을 쉽게 방문할 수 있는 숙소가 있을까요?","용평리조트와 알펜시아리조트에서 스키를 즐기고 싶은데, 이들 리조트와 가까운 숙소가 있나요?","가족들이 함께 머물 수 있는 넓은 객실이 있는 숙소로, 대중교통으로 접근하기 좋은 곳이 있나요?","자연을 좋아하는 부모님과 함께할 계획인데, 양떼목장과 가까운 숙소가 있을까요?","차로 이동하기 편리한 위치에 있으면서, 조용히 쉴 수 있는 숙소를 찾고 있어요. 주변에 산책하기 좋은 곳이 있는지도 궁금해요"
푸른솔펜션,평창군,대관령의 자연을 즐기기 위한 산책로가 잘 마련된 숙소가 있을까요?,겨울 스포츠를 즐기기에 용평리조트와 가까운 숙소가 필요해요,"고령자분들이 이용하기 편리한, 대관령 고원 근처 숙소가 있을까요?",대관령의 청정고원을 한눈에 볼 수 있는 전망이 좋은 숙소가 있나요?,"가족들이 함께 시간을 보내기 좋은, 대관령 지역에 위치한 숙소를 추천해 주세요"
칸델라통나무펜션,평창군,"숲 속에서 조용히 쉴 수 있는 곳을 찾고 있는데, 근처에 자연을 산책할 수 있는 트레일이 있나요?","해발 700m 고지에 위치해 있다고 들었는데, 이동이 불편하신 분들을 위한 교통편이나 셔틀이 제공되는지 궁금합니다","자연경관을 즐길 수 있는 숙소라고 하니, 근처에 사진 찍기 좋은 전망 포인트가 있는지 알고 싶어요","부모님과 함께 자연을 만끽하고 싶은데, 근처에 편안하게 쉴 수 있는 벤치나 휴식 공간이 마련되어 있나요?","고지대라서 밤에 별을 보기 좋을 것 같은데, 주변에 밤하늘을 관찰하기 좋은 장소가 있는지 궁금합니다"
아침의 소리,평창군,"부모님이 자연을 좋아하시는데, 태기산을 쉽게 감상할 수 있는 숙소가 있나요?","휘닉스 평창에서 겨울 스포츠를 즐기고 싶어 하는데, 가까운 거리에 위치한 숙소를 추천해 주세요","이효석 문학관을 방문하려고 하는데, 도보로 이동하기 편리한 숙소가 있을까요?","가족과 함께 금당계곡을 산책할 계획인데, 근처에 숙소가 있으면 좋겠어요","대관령 양떼목장을 방문하려고 하는데, 주변에 숙소가 있는지 궁금합니다"
대관령하우스,평창군,"부모님이 자연을 좋아하셔서, 평창의 산책로가 잘 마련된 숙소가 있을까요?","해발이 높은 곳에 위치한 숙소를 찾고 있는데, 평창 주변에 그런 곳이 있나요?",맑은 공기를 마시며 휴식을 취하고 싶어요. 평창 근처에 자연이 잘 어우러진 숙소가 있을까요?,푸른 잔디밭에서 여유롭게 시간을 보낼 수 있는 평창 지역의 숙소를 추천받을 수 있을까요?,평창에서 자연 경관을 즐기며 힐링할 수 있는 숙소가 어디에 있는지 알려주세요
솔숲,평창군,"부모님이 산책을 즐기시는데, 평창에서 산책하기 좋은 자연 경관이 가까운 숙소가 있나요?","대중교통을 이용할 계획인데, 평창 시내에서 접근성이 좋은 숙소를 추천해줄 수 있나요?","평창에서 힐링 시간을 보내고 싶은데, 주변에 조용한 환경을 제공하는 숙소가 있을까요?","평창의 깨끗한 공기를 느낄 수 있는 산속 숙소를 찾고 있는데, 경치가 좋은 곳이 있을까요?","가족들과 함께 여행을 계획 중인데, 평창에서 각자 독립적으로 사용할 수 있는 숙소가 있을까요?"
메이페어 리겔,평창군,"부모님이 산책을 좋아하시는데, 주변에 산책로가 잘 마련된 숙소가 있을까요?",고령자도 쉽게 이동할 수 있는 평지에 위치한 숙소가 있나요?,"양떼목장과 허브나라를 방문할 계획인데, 두 관광지와 가까운 숙소를 추천해 주세요",겨울철에 스키를 즐기고 싶습니다. 스키장과 가까운 숙소가 어디에 있을까요?,반려동물과 함께 머물 수 있는 숙소 중 주변에 편의점이나 식당이 가까운 곳이 있나요?
마메별,평창군,"부모님이 자연 경관을 좋아하시는데, 평창 휘닉스파크 근처에 산책하기 좋은 숙소가 있을까요?","장애인 편의시설을 중시하는데, 평창 지역 숙소 중 휠체어 접근성이 좋은 곳이 있나요?","할머니께서 음악을 좋아하시는데, 평창 휘닉스파크 근처에 음악을 즐길 수 있는 숙소가 있을까요?",가족끼리 수영을 즐기고 싶어요. 평창 주변에 야외수영장이 있는 숙소가 있나요?,아이들도 함께하는 여행이라 놀이시설이 잘 갖춰진 평창 지역 숙소를 찾고 있어요. 추천해줄 수 있나요?
꼬마성,평창군,평창 휘닉스파크에 가깝게 위치한 숙소 중에서 경치 좋은 산책로가 가까운 곳이 있을까요?,"부모님과 함께라 차를 이용할 예정인데, 평창 인근에 주차가 편리한 숙소가 있나요?","자연 속에서 조용히 쉴 수 있는 곳을 찾고 있는데, 평창 주변에 그런 숙소가 있을까요?",아이들이 자연을 체험할 수 있는 프로그램을 제공하는 평창 인근 숙소가 있나요?,평창에서 전통 시장이나 현지 음식을 즐길 수 있는 장소와 가까운 숙소가 있나요?
개여울,평창군,"산책을 좋아하시는 부모님을 위해, 주변에 경치 좋은 산책로가 있는 숙소가 있나요?","차가 없어 대중교통을 이용해야 하는데, 버스 정류장이나 기차역과 가까운 숙소를 추천해 주세요","시골의 조용한 분위기를 즐기고 싶으신데, 주변에 소음이 적고 한적한 숙소가 있나요?","자연을 감상하며 휴식을 취하고 싶은데, 계곡을 바라볼 수 있는 전망 좋은 숙소가 있나요?",전통시장에서 현지 음식을 경험해 보고 싶어요. 근처에 시장이 있는 숙소가 있을까요?
아리오,평창군,"부모님이 물소리를 좋아하시는데, 계곡이나 시냇물 소리를 들을 수 있는 숙소가 있나요?","평창 지역의 전통시장을 구경하고 싶은데, 가까운 거리에 위치한 숙소가 있을까요?",자연 경관을 감상하며 산책할 수 있는 곳이 근처에 있는 숙소가 있나요?,강원도 평창의 특산물을 맛볼 수 있는 음식점이 주변에 있는 숙소를 찾고 있어요,"대중교통을 이용할 계획인데, 평창 지역의 버스 정류장이나 기차역과 가까운 숙소가 있나요?"
(주)나온 리조트팰리즈,평창군,근처 흥정계곡까지 산책을 하기에 적합한 길이 잘 조성된 숙소가 있을까요?,허브나라 테마가든을 쉽게 방문할 수 있는 위치에 있는 숙소를 추천해줄 수 있나요?,자연의 멋을 즐길 수 있는 전망을 가진 숙소가 근처에 있나요?,"고령자분도 편하게 즐길 수 있는 흥정계곡 근처 숙소를 찾고 있는데, 추천해주실 수 있을까요?",다양한 허브 향을 즐길 수 있는 허브나라와 가까운 숙소가 어디에 있을까요?
대관령로뎀나무,평창군,"대중교통을 이용할 예정인데, 알펜시아에서 도보로 쉽게 접근할 수 있는 숙소가 있나요?","부모님이 스키를 즐기시는데, 용평리조트와 가까운 숙소를 추천해줄 수 있나요?","겨울철에 난방이 잘 되어야 하는데, 평창군 대관령면에서 따뜻하게 지낼 수 있는 숙소가 있을까요?","평창의 자연을 감상하고 싶으신데, 산책로가 잘 마련된 숙소가 주변에 있나요?","부모님께서 요리를 해 드시는 것을 좋아하셔서, 주방 시설이 잘 갖춰진 숙소를 찾고 있어요. 평창군 대관령면에 그런 곳이 있을까요?"
선영아사랑해,평창군,근처에 병원이나 의료 시설이 있는 숙소를 알고 싶어요. 혹시 어떤 곳이 있을까요?,고령자들이 이용하기 편리한 마트나 시장이 가까운 숙소가 있을까요?,"대중교통을 자주 이용해야 하는데, 버스 정류장이나 지하철역과 가까운 숙소가 있나요?",자연 풍경을 즐기며 차분히 쉴 수 있는 공원이 주변에 있는 숙소를 추천해주세요,산책로가 잘 조성되어 있어 아침 산책하기 좋은 숙소를 찾고 있어요. 어떤 곳이 좋을까요?
안단테펜션,평창군,"허브 나라가 가까운 곳에 위치해 있는데, 허브 정원을 산책할 수 있는 숙소가 있나요?","계곡 물놀이를 즐기기에 좋은 지역이라고 하는데, 물가 접근이 쉬운 숙소를 찾고 있어요","자연 경관이 아름답다고 들었는데, 근처에서 사계절의 풍광을 감상할 수 있는 산책로가 있나요?","대중교통을 이용할 계획인데, 봉평면에서 접근성이 좋은 숙소가 있을까요?",주변에 조용히 산책할 수 있는 자연 공간이 많은 숙소를 추천해줄 수 있나요?
핑크하우스,평창군,"부모님께서 자연을 좋아하시는데, 금당계곡 근처에서 조용히 쉴 수 있는 숙소가 있을까요?","양떼목장을 방문할 예정인데, 그 근처에 머물기 좋은 숙소를 추천해주실 수 있나요?","어머니께서 허브 향기를 좋아하셔서, 봉평 허브나라 근처에 위치한 숙소가 있는지 궁금합니다","경치 좋은 흥정계곡을 산책하고 싶은데, 그 주변에 편안하게 쉴 수 있는 숙소가 있을까요?","계곡의 깨끗한 공기를 마시며 휴식할 수 있는 곳을 찾고 있는데, 자연과 가까운 숙소가 어디에 있을까요?"
스노우힐펜션,평창군,"부모님과 함께 머물 예정인데, 근처에 가벼운 산책로가 잘 조성되어 있는 곳이 있을까요?","할머니가 전통시장 구경을 좋아하시는데, 근처에 시장이 있는 숙소를 추천받을 수 있을까요?","자연 속에서 조용히 쉴 수 있는 곳을 찾고 있는데, 주변에 관광객이 많이 붐비지 않는 숙소가 있을까요?",아버지가 지역 특산품을 구매하고 싶어 하세요. 주변에 특산품을 판매하는 상점이나 매장이 있는 곳이 있나요?,할아버지께서 자연 경관을 감상하며 휴식을 취하고 싶어 하세요. 주변에 전망 좋은 휴식 공간이 있는 숙소가 있을까요?
그리네펜션,평창군,"계곡을 좋아하시는 부모님이 계셔서, 흥정계곡 근처에 있는 숙소가 있을까요?",여름철에도 시원한 곳에서 머물고 싶어요. 계곡 옆에 위치한 숙소를 추천해주실 수 있나요?,"야외에서 바비큐를 즐기고 싶어서, 개별 테라스가 있는 숙소가 궁금해요",산책을 좋아하시는 부모님을 위해 깨비마을 근처에 있는 숙소를 찾고 있어요,자연과 가까운 곳에서 휴식하고 싶어요. 숲속 느낌을 느낄 수 있는 숙소가 있을까요?
메이페어나르샤,평창군,"부모님께서 숲속 산책을 좋아하시는데, 주변에 산책로가 잘 조성된 숙소가 있을까요?","계곡 근처에 위치한 숙소를 찾고 있는데, 물소리를 들으며 쉴 수 있는 곳이 있나요?",고령자분들이 이동하기 편리한 산 속 숙소가 있나요?,자연의 소리를 들으며 쉴 수 있는 조용한 숙소를 알고 싶어요,부모님께서 신선한 공기를 마시며 힐링할 수 있는 숲속 숙소를 추천해 주세요
푸른하늘펜션(펜트하우스펜션),평창군,숲 속의 조용한 환경을 좋아하시는 부모님을 위해 근처에 산책로가 잘 마련된 숙소가 있을까요?,"자연과 가까운 곳에서 휴식을 취하고 싶어서, 주변에 호수나 강이 있는 숙소를 추천받을 수 있을까요?","부모님께서 아침에 커피를 즐기시는데, 숙소 근처에 좋은 브런치 카페가 있는 곳이 있을까요?","자연을 즐기며 편안히 쉴 수 있는 숙소를 찾고 있는데, 근처에 조용한 정원이 있는 곳이 있나요?","어머니께서 예쁜 꽃을 좋아하시는데, 근처에 꽃구경을 할 수 있는 식물원이 있는 숙소가 있나요?"
하늘닿은펜션,평창군,"휘닉스파크를 자주 방문할 예정인데, 이곳과 가까운 숙소가 있을까요?",문학에 관심이 많으신 부모님을 위해 이효석 문학관 근처에 있는 숙소를 추천받고 싶어요,예술 전시를 즐기시는 분들을 위해 평창무이예술관 근처에 위치한 숙소가 있을까요?,"허브나라 농원을 방문할 계획인데, 그 주변에 머물기 좋은 숙소가 있나요?",아름다운 야경을 감상할 수 있는 숙소가 강원도 평창에 있을까요?
펜스토리,평창군,"숲 속에서 조용히 휴식을 취하고 싶은데, 근처에 산책로가 잘 조성된 곳이 있나요?",자연을 만끽하며 피크닉을 즐길 수 있는 넓은 공터가 근처에 있는 숙소가 있을까요?,고령의 부모님께서 깨끗한 공기를 마시며 산책하기 좋은 장소가 가까운 숙소를 추천해 줄 수 있나요?,지하암반수의 깨끗함을 경험할 수 있는 온천이나 스파 시설이 숙소 근처에 있나요?,차가운 바람을 피해 따뜻한 차 한 잔을 즐길 수 있는 커피숍이나 카페가 가까운 곳에 있는 숙소를 찾고 있어요
별헤는밤,평창군,"하늘목장과 대관령삼양목장을 둘러보고 싶은데, 이 관광지들과 가까운 숙소가 있을까요?","근처 마트에서 장을 봐서 직접 요리를 하고 싶은데, 마트와 가까운 위치에 있는 숙소를 추천해 주세요",부모님과 함께 바비큐를 즐기고 싶어요. 야외 바비큐 시설이 잘 갖추어진 숙소가 있을까요?,"관광 후 휴식을 취하기 좋은 곳을 찾는데, 숙소에서 하늘목장까지 이동하기 편리한 곳이 있을까요?","자연을 즐기면서 산책할 수 있는 곳이 좋은데, 대관령삼양목장 근처 숙소가 있을까요?"
대관령아름다운펜션,평창군,"부모님이 숲속 산책을 좋아하시는데, 숙소 근처에 편하게 산책할 수 있는 산림욕장이 있나요?","대중교통을 이용할 계획인데, 오대산 근처까지 편하게 갈 수 있는 교통편이 잘 되어 있는 숙소가 있을까요?",해발 700m의 고지대라서 혹시 고령자를 위한 적절한 의료시설이 근처에 있는지 궁금해요,부모님이 맑은 공기를 마시며 휴식을 취하고 싶어 하세요. 오대산 근처에 조용하고 쾌적한 숙소가 있을까요?,고령의 부모님과 함께 갈 예정이라 무리 없이 접근할 수 있는 평지나 경사가 완만한 숙소가 있으면 좋겠어요
대관령그린필드펜션,평창군,"고령의 부모님을 모시고 발왕산 케이블카를 타고 싶은데, 케이블카 근처에 숙소가 있나요?","용평 워터파크를 방문할 계획인데, 워터파크와 가까운 숙소를 추천해줄 수 있나요?","차가 없어서 대중교통을 이용하려고 하는데, 강원도 고원지대에 있는 숙소로 가는 방법을 알려줄 수 있나요?",자연을 즐기며 산책할 수 있는 청정한 고원 초원 근처에 숙소가 있을까요?,"픽업 서비스가 제공되는 숙소를 찾고 있는데, 예약 방법과 조건에 대해 자세히 알고 싶어요"
로얄장모텔,평창군,"고령자분들이 아늑하게 쉴 수 있도록, 평창읍 근처에 조용한 산책로가 있는 숙소가 있을까요?","부모님께서 전통시장을 구경하고 싶어 하시는데, 평창군에 있는 전통시장 근처 숙소를 추천해줄 수 있나요?","대중교통을 이용할 계획이라서, 평창읍 버스터미널과 가까운 숙소가 있는지 궁금합니다","자연 경관을 좋아하시는 부모님을 위해, 평창의 아름다운 산이나 강이 보이는 숙소가 있을까요?",평창군 내에 지역 특산물을 맛볼 수 있는 식당과 가까운 숙소가 있는지 알고 싶어요
평창아름다운세상,평창군,"부모님과 함께 걷기 좋은 산책로를 찾고 있는데, 흥정계곡 근처에 그런 숙소가 있을까요?",자전거를 타고 자연을 즐기고 싶습니다. 숙소 근처에서 자전거를 탈 수 있는 경로가 마련되어 있나요?,가족들과 함께 바비큐를 즐기고 싶습니다. 휘닉스파크 가까이에 바비큐 시설이 잘 갖춰진 숙소가 있을까요?,어르신들도 쉽게 접근할 수 있는 계곡을 찾고 있습니다. 흥정계곡에 접근하기 좋은 숙소가 있을까요?,자연을 감상하며 조용히 쉴 수 있는 곳을 찾고 있습니다. 잣나무숲 근처에 그런 숙소가 있을까요?
부성파크,평창군,"겨울 스포츠를 즐기고 싶은데, 휘닉스파크가 가까운 숙소가 있나요?",차가 없어서 대중교통이 중요해요. 장평으로 가는 셔틀버스 노선이 있는 곳을 추천해주실 수 있나요?,"가족 단위로 여행을 가려고 하는데, 8명 이상이 머물 수 있는 객실이 있는 숙소가 있나요?",주변 경관이 좋은 곳을 찾고 있어요. 탁 트인 전경을 감상할 수 있는 숙소가 있을까요?,비용을 절약하고 싶어요. 합리적인 가격으로 이용할 수 있는 숙소가 있을까요?
프라하21펜션,평창군,"흥정계곡 근처에 있어서, 계곡 산책이나 자연을 즐길 수 있는 숙소가 있나요?","수영장을 자주 이용할 계획인데, 숙소 주변에 수영 후 쉴만한 카페나 휴식 공간이 있나요?","가족들과 함께 묵을 예정인데, 근처에 가족들이 함께 즐길 수 있는 관광 명소가 있나요?",자연을 좋아하는 부모님을 위해 숙소 근처에 아름다운 산책로가 있는 곳이 있을까요?,"대중교통을 이용할 예정인데, 숙소 근처에 버스 정류장이나 기차역이 가까운 곳이 있나요?"
구름위의테라스,평창군,대관령의 멋진 풍경을 감상할 수 있는 숙소가 어디에 있을까요?,자연을 느끼며 산책하기 좋은 목초지가 가까운 숙소를 찾고 있어요,시계탑이나 시계 박물관 같은 독특한 명소가 근처에 있는 숙소가 있을까요?,고원 지대에서 조용히 쉴 수 있는 숙소가 대관령 주변에 있나요?,대관령의 겨울철 눈 경치를 즐길 수 있는 숙소를 추천해주실 수 있나요?
오대산별빛동산펜션,평창군,부모님이 자연을 만끽하실 수 있도록 계곡이 가까운 숙소가 있을까요?,"가족들과 함께 큰 수영장을 이용하고 싶은데, 대형 수영장이 있는 숙소를 추천해 주세요","방아다리약수터에 가보고 싶은데, 약수터에서 가까운 숙소가 있을까요?","겨울에 설경이 아름다운 곳에서 머물고 싶은데, 눈꽃 풍경이 좋은 숙소가 있나요?","용평리조트를 자주 방문할 예정인데, 리조트에서 20분 거리인 숙소가 있을까요?"
초가집황토펜션,평창군,"부모님이 자연을 좋아하시는데, 태기산 근처에 있어서 산책하기 좋은 숙소가 있을까요?","차가 없어서 대중교통을 이용해야 하는데, 평창군 봉평면에 접근성이 좋은 숙소가 있나요?","조용한 환경에서 쉬고 싶으신데, 메밀꽃이 피는 고장 근처에 있는 숙소가 있을까요?","고지대에 있는 숙소를 선호하는데, 해발 700미터 정도에 위치한 곳이 있을까요?","맑은 공기를 마실 수 있는 곳을 찾고 있는데, 태기산 기슭에 있는 숙소가 있나요?"
황미숙펜션,평창군,"부모님과 함께 산책을 즐기고 싶은데, 대관령 양떼목장 가까이에 있는 숙소가 있나요?","겨울철에 스키를 타러 용평스키장에 자주 가는데, 근처에 머물기 좋은 숙소가 있을까요?","교통이 불편하면 힘드셔서, 대중교통으로 쉽게 접근할 수 있는 숙소가 대관령 근처에 있나요?",자연 경관을 좋아하시는 부모님을 위해 파란 초원을 바라볼 수 있는 숙소가 있을까요?,"봄에 꽃을 감상할 수 있는 숙소를 찾고 있는데, 개나리꽃이 많은 곳 근처에 위치한 숙소가 있나요?"
더파머스,평창군,평창 지역에 위치한 숙소에서 가까운 병원이 있는지 궁금합니다. 의료 시설이 가까운 곳에 있는지 알고 싶어요,"부모님께서 산책을 즐기시는데, 숙소 주변에 산책할 만한 공원이나 산책로가 있는지 알고 싶습니다","대중교통을 이용할 계획인데, 평창 숙소 근처에 버스정류장이나 기차역이 있는지 궁금합니다","장기 투숙을 고려 중인데, 숙소 근처에 장을 볼 수 있는 마트나 시장이 있는지 알고 싶어요",커피와 음료를 좋아하는 부모님께서 평창 숙소 근처에 다른 카페나 맛집이 있는지 궁금해 하십니다
평창강펜션,평창군,"동강 근처에서 래프팅을 즐기고 싶은데, 걸어서 갈 수 있는 숙소가 있을까요?","겨울에 얼음썰매를 타고 싶은데, 썰매장이 가까운 곳에 있는 숙소가 있나요?","절개산의 자연을 즐기고 싶은데, 산책로가 잘 조성된 숙소가 있을까요?","여름에도 서늘한 곳에서 머물고 싶은데, 평창강변에 위치한 숙소를 추천해줄 수 있나요?",동해안의 푸른 바다를 쉽게 갈 수 있는 숙소가 어디에 있을까요?
뇌운계곡사람들,평창군,뇌운계곡에서 물놀이를 즐길 수 있는 숙소가 있나요? 근처에 안전하게 계곡을 접근할 수 있는지 궁금합니다,평창읍에 위치한 숙소 중에서 대중교통을 이용하기에 편리한 곳이 있을까요? 버스 정류장이나 기차역과 가까운지 알고 싶어요,"부모님께서 자연 산책을 좋아하시는데, 숙소 근처에 산책하기 좋은 산책로나 트레일이 있는지 궁금합니다","평창에서 머무는 동안 지역 음식을 맛보고 싶은데, 숙소 주변에 맛집이나 전통 음식점이 있는지 추천해줄 수 있나요?",주변에 지역 관광지를 함께 방문하고 싶어요. 숙소 근처에 추천할 만한 관광 명소가 있나요?
두산민박,평창군,"대중교통을 이용할 계획인데, 진부면 근처에 버스나 기차역과 가까운 숙소가 있나요?","평창군 지역의 자연을 즐기고 싶은데, 주변에 산책로나 공원이 잘 마련된 숙소가 있을까요?","골동품과 민속품에 관심이 많은데, 숙소 근처에 관련 전시관이나 박물관이 있는 곳이 있나요?","시골의 한적함을 느낄 수 있는 곳을 찾고 있는데, 진부면 부근에 조용하고 편안한 숙소가 있나요?","와인이나 전통주를 시음할 수 있는 곳을 좋아하는데, 평창군에서 주류 시음이 가능한 숙소가 있나요?"
로뎀나무펜션,평창군,"가족과 함께 평창강 근처에서 물놀이를 즐기고 싶은데, 접근이 편리한 숙소가 있을까요?",부모님께서 자연을 좋아하셔서 강바람을 맞으며 쉴 수 있는 숙소를 찾고 있어요. 근처에 그런 곳이 있을까요?,족구를 즐길 수 있는 넓은 잔디밭이 있는 숙소가 강원도 지역에 있나요?,"평창강에서 다슬기 잡기 체험을 하고 싶은데, 도보로 이동 가능한 숙소가 있을까요?","도시생활의 피로를 풀 수 있는 조용한 자연 속 숙소를 찾고 있는데, 강원도 지역에 추천할 만한 곳이 있나요?"
